Data Collected Date,Symbol,Company Name,Sector,Share Outstanding,Paid Up Capital,1 Year Price Change,Market Cap,EPS,P/E Ratio,BVPS,P/B,Recent Dividend
6/5/2025,MHCL,Molung Hydropower Company Limited,Hydro Power,"8,025,000","802,500,000.00",12%,"3,492,640,500.00","5.02 (Q3, FY 81/82)",86.7,80.43,8.21,-
6/5/2025,MHL,Mandakini Hydropower Limited,Hydro Power,"6,467,672","646,767,200.00",39%,"3,850,722,555.36","7.56 (Q3, FY 81/82)",78.75,106.64,8.68,FY 80/81
6/5/2025,MHNL,Mountain Hydro Nepal Limited,Hydro Power,"12,500,000","1,250,000,000.00",9%,"3,188,250,000.00","-41.89 (Q3, FY 81/82)",-6.09,25.4,13.55,-
6/5/2025,MKCL,Muktinath Krishi Company Limited,Others,"7,000,000","700,000,000.00",46%,"10,452,890,000.00","4.28 (Q3, FY 81/82)",348.89,98.75,21.78,-
6/5/2025,MKHC,Maya Khola Hydropower Company Limited,Hydro Power,"10,000,000","1,000,000,000.00",30%,"4,141,400,000.00","-6.57 (Q3, FY 81/82)",-63.04,61.86,10.89,-
6/5/2025,MKHL,Mai Khola Hydropower Limited,Hydro Power,"3,921,568","392,156,800.00",47%,"2,886,195,616.64","0.83 (Q3, FY 81/82)",886.72,101.74,8.77,-
6/5/2025,MKJC,Mailung Khola Jal Vidhyut Company  Limited,Hydro Power,"3,763,198","376,319,800.00",3%,"1,849,047,337.30","5.19 (Q3, FY 81/82)",94.67,104.28,7.29,FY 79/80
6/5/2025,MLBBL,Mithila Laghubitta Bittiya Sanstha Ltd.,Microfinance,"2,239,332","223,933,200.00",6%,"3,255,406,501.68","36.22 (Q3, FY 81/82)",40.14,196.98,10.13,FY 80/81
6/5/2025,MLBL,Mahalaxmi Bikas Bank Ltd.,Development Bank Limited,"42,964,582","4,296,458,200.00",18%,"16,436,100,844.10","13.55 (Q3, FY 81/82)",28.23,163.86,3.16,FY 80/81
6/5/2025,MLBLD89,11% Mahalaxmi Debenture-2089,Corporate Debenture,"1,000,000","1,000,000,000.00",10%,"1,216,000,000.00",-,-,-,-,-
6/5/2025,MLBS,Manushi Laghubitta Bittiya Sanstha Limited,Microfinance,"1,093,750","109,375,000.00",18%,"1,726,200,000.00","11.38 (Q3, FY 81/82)",138.69,122.93,18.8,-
6/5/2025,MLBSL,Mahila Laghubitta Bittiya Sanstha Limited,Microfinance,"2,175,625","217,562,500.00",14%,"4,782,023,750.00","65.43 (Q3, FY 81/82)",33.59,250.14,11.92,FY 79/80
6/5/2025,MMF1,Mega Mutual Fund-1,Mutual Fund,"125,000,000","1,250,000,000.00",21%,"1,123,750,000.00",-,-,-,-,-
6/5/2025,MMKJL,Mathillo Mailun Khola Jalvidhyut Limited,Hydro Power,"10,000,000","1,000,000,000.00",18%,"5,746,200,000.00","2.53 (Q3, FY 81/82)",227.12,92.02,9.36,-
6/5/2025,MNBBL,Muktinath Bikas Bank Ltd.,Development Bank Limited,"70,469,382","7,046,938,200.00",4%,"25,335,856,910.46","13.71 (Q3, FY 81/82)",26.22,158.3,3.04,FY 79/80
6/5/2025,MND84/85,8.75% Muktinath Debenture/Rinpatra 2084/85,Corporate Debenture,"1,250,000.00","1,250,000,000.00",7.86,"1,337,500,000.00",0,0,0,,
6/5/2025,MNMF1,Muktinath Mutual Fund 1,Mutual Fund,"125,000,000","1,250,000,000.00",0%,"1,150,000,000.00",-,-,-,-,-
6/5/2025,MPFL,Multipurpose Finance Company Limited,Finance,"6,102,000","610,200,000.00",18%,"3,523,660,920.00","4.73 (Q3, FY 81/82)",122.08,116.59,7.17,FY 77/78
6/5/2025,MSHL,Mid-Solu Hydropower Limited,Hydro Power,"7,484,000","748,400,000.00",35%,"6,459,889,440.00","15.52 (Q3, FY 81/82)",55.62,114.15,10.25,-
6/5/2025,MSLB,Mahuli Laghubitta Bittiya Sanstha Ltd.,Microfinance,"3,699,237","369,923,700.00",-14%,"4,425,138,276.51","14.62 (Q3, FY 81/82)",81.82,194.51,8.5,FY 78/79
6/5/2025,NABBC,Narayani Development Bank Limited,Development Bank Limited,"2,624,676","262,467,600.00",190%,"4,536,831,206.28","-6.44 (Q3, FY 81/82)",-268.41,18.62,128.76,-
6/5/2025,NABIL,Nabil Bank Limited,Commercial Banks,"270,569,984","27,056,998,400.00",3%,"133,220,543,022.08","24.89 (Q3, FY 81/82)",19.78,226.36,2.87,FY 80/81
6/5/2025,NABILD87,9% Nabil Debenture 2087,Corporate Debenture,"3,000,000.00","3,000,000,000.00",7.35,"3,285,000,000.00",0,0,0,,
6/5/2025,NADEP,Nadep Laghubitta Bittiya Sanstha Ltd.,Microfinance,"4,857,600","485,760,000.00",-2%,"4,112,832,768.00","2.11 (Q3, FY 81/82)",401.27,156.85,7.5,FY 77/78
6/5/2025,NBF2,NABIL BALANCED FUND-2,Mutual Fund,"112,000,000","1,120,000,000.00",18%,"1,107,680,000.00",-,-,-,-,FY 80/81
6/5/2025,NBF3,Nabil Balanced Fund-3,Mutual Fund,"125,000,000","1,250,000,000.00",31%,"1,222,500,000.00",-,-,-,-,-
6/5/2025,NBL,Nepal Bank Limited,Commercial Banks,"146,940,224","14,694,022,400.00",22%,"37,466,818,315.52","25.26 (Q3, FY 81/82)",10.09,260.74,1.28,FY 78/79
6/5/2025,NBLD87,8.5% Nepal Bank Debenture 2087,Corporate Debenture,"3,500,000","3,500,000,000.00",9%,"3,727,850,000.00",-,-,-,-,-
6/5/2025,NESDO,NESDO Sambridha Laghubitta Bittiye Sanstha Limited,Microfinance,"2,913,375","291,337,500.00",-24%,"4,640,336,298.75","-53.12 (Q3, FY 81/82)",-29.98,224.72,10.63,FY 80/81
6/5/2025,NFS,Nepal Finance Ltd.,Finance,"8,389,439","838,943,900.00",2%,"5,133,246,040.93","0.31 (Q3, FY 81/82)",1973.77,137.12,6.64,FY 67/68
6/5/2025,NGPL,Ngadi Group Power Ltd.,Hydro Power,"37,025,584","3,702,558,400.00",31%,"14,657,688,193.92","0.83 (Q3, FY 81/82)",476.96,158.02,2.42,FY 78/79
6/5/2025,NHDL,Nepal Hydro Developers Ltd.,Hydro Power,"3,881,967","388,196,700.00",43%,"2,684,380,180.50","17.11 (Q3, FY 81/82)",40.41,120.84,8.59,FY 80/81
6/5/2025,NHPC,National Hydro Power Company Limited,Hydro Power,"24,664,380","2,466,438,000.00",48%,"5,313,940,671.00","-0.08 (Q3, FY 81/82)",-2693.13,96.48,2.86,FY 77/78
6/5/2025,NIBD84,8.5% Nepal Investment Bank Debenture 2084,Corporate Debenture,"4,000,000.00","4,000,000,000.00",4.38,"4,200,400,000.00",0,0,0,,
6/5/2025,NIBLGF,NIBL Growth Fund,Mutual Fund,"132,000,000","1,320,000,000.00",7%,"1,132,560,000.00",-,-,-,-,FY 80/81
6/5/2025,NIBLSTF,NIBL Stable Fund,Mutual Fund,"113,000,000","1,130,000,000.00",-4%,"944,680,000.00",-,-,-,-,-
6/5/2025,NIBSF2,NIBL Samriddhi Fund 2,Mutual Fund,"150,000,000","1,500,000,000.00",1%,"1,239,000,000.00",-,-,-,-,-
6/5/2025,NICA,NIC Asia Bank Ltd.,Commercial Banks,"149,175,670","14,917,567,000.00",-14%,"52,770,893,262.50","1.4 (Q3, FY 81/82)",252.68,199.3,2.52,FY 79/80
6/5/2025,NICAD8283,11% NIC Asia Debenture 082/83,Corporate Debenture,0,0,0%,0,-,-,-,-,-
6/5/2025,NICAD8283,11% NIC Asia Debenture 082/83,Corporate Debenture,"1,135.76",0,0,0,0,0,"1,135.76",,
6/5/2025,NICBF,NIC Asia Balanced Fund,Mutual Fund,"75,500,000","755,000,000.00",3%,"687,805,000.00",-,-,-,-,FY 80/81
6/5/2025,NICFC,NIC ASIA Flexi CAP Fund,Mutual Fund,"102,000,000","1,020,000,000.00",7%,"938,400,000.00",-,-,-,-,FY 80/81
6/5/2025,NICGF2,NIC Asia Growth Fund-2,Mutual Fund,"90,500,000","905,000,000.00",9%,"778,300,000.00",-,-,-,-,-
6/5/2025,NICL,Nepal Insurance Co. Ltd.,Non-Life Insurance,"18,908,783","1,890,878,300.00",-7%,"14,606,467,604.01","10.46 (Q2, FY 81/82)",73.85,215.37,9.05,FY 80/81
6/5/2025,NICLBSL,NIC Asia Laghubitta Biitiya Sanstha Limited,Microfinance,"17,394,400","1,739,440,000.00",-8%,"10,639,806,592.00","0.1 (Q3, FY 81/82)",6116.8,147.24,5.76,FY 79/80
6/5/2025,NICSF,NIC Asia Select - 30 (Index Fund),Mutual Fund,"125,000,000","1,250,000,000.00",-4%,"1,131,250,000.00",-,-,-,-,FY 80/81
6/5/2025,NIFRA,Nepal Infrastructure Bank Limited,Investment,"216,000,000","21,600,000,000.00",42%,"60,737,040,000.00","5.56 (Q3, FY 81/82)",50.57,117.81,3.13,FY 79/80
6/5/2025,NIL,Neco Insurance Co. Ltd.,Non-Life Insurance,"26,915,325","2,691,532,500.00",-13%,"18,733,604,506.50","24.47 (Q3, FY 81/82)",28.44,267.4,3.74,FY 80/81
6/5/2025,NIMB,Nepal Investment Mega Bank Limited,Commercial Banks,"328,159,563","32,815,956,300.00",32%,"69,491,069,060.88","17.74 (Q3, FY 81/82)",11.94,190.39,1.48,FY 79/80
6/5/2025,NIMBPO,Nepal Investment Mega Bank Ltd. Promoter Share,Promotor Share,159,"15,900.00",16%,"25,535.40",-,-,-,-,FY 75/76
6/5/2025,NLG,NLG Insurance Company Ltd.,Non-Life Insurance,"25,652,247","2,565,224,700.00",0%,"19,451,329,332.69","6.57 (Q3, FY 81/82)",115.41,169.46,6.96,FY 80/81
6/5/2025,NLIC,Nepal Life Insurance Co. Ltd.,Life Insurance,"90,287,633","9,028,763,300.00",24%,"68,201,472,215.54","9.63 (Q3, FY 81/82)",78.44,127.77,8,FY 80/81
6/5/2025,NLICL,National Life Insurance Co. Ltd.,Life Insurance,"54,727,400","5,472,740,000.00",10%,"32,729,174,296.00","10.45 (Q3, FY 81/82)",57.23,128.12,6.5,FY 80/81
6/5/2025,NMB,NMB Bank Limited,Commercial Banks,"183,667,060","18,366,706,000.00",22%,"44,210,498,012.60","17.23 (Q3, FY 81/82)",13.97,171.88,1.95,FY 78/79
6/5/2025,NMB50,NMB 50,Mutual Fund,"125,000,000","1,250,000,000.00",7%,"1,312,500,000.00",-,-,-,-,FY 80/81
6/5/2025,NMBD2085,10% NMB DEBENTURE 2085,Corporate Debenture,0,0,8%,0,-,-,-,-,-
6/5/2025,NMBD87/88,8.50% NMB Rinpatra 2087/88,Corporate Debenture,0,0,8%,0,-,-,-,-,-
6/5/2025,NMBD87/88,8.50% NMB Rinpatra 2087/88,Corporate Debenture,"2,000,000.00","2,000,000,000.00",4,"2,080,000,000.00",0,0,0,,
6/5/2025,NMBHF2,NMB Hybrid Fund L-II,Mutual Fund,"136,484,000","1,364,840,000.00",0%,"1,187,410,800.00",-,-,-,-,-
6/5/2025,NMBMF,NMB Laghubitta Bittiya Sanstha Ltd.,Microfinance,"7,214,491","721,449,100.00",1%,"5,045,093,556.30","5.09 (Q3, FY 81/82)",137.39,131.79,7.49,FY 79/80
6/5/2025,NMFBS,National Laghubitta Bittiya Sanstha Limited,Microfinance,"13,316,087","1,331,608,700.00",-10%,"16,275,720,496.62","36.3 (Q3, FY 81/82)",33.67,230.85,7.12,FY 80/81
6/5/2025,NMIC,Nepal Micro Insurance Co. Ltd.,Non-Life Insurance,"7,500,000","750,000,000.00",0%,"13,272,975,000.00","0.09 (Q3, FY 81/82)",19663.67,100.69,5.86,-
6/5/2025,NMLBBL,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,"13,977,643","1,397,764,300.00",-12%,"8,958,131,622.27","5.52 (Q3, FY 81/82)",116.1,192.66,4.54,-
6/5/2025,NRIC,Nepal Re-Insurance Company Limited,Others,"134,221,871","13,422,187,100.00",86%,"165,366,713,946.84","7.94 (Q2, FY 81/82)",155.17,114.16,13.31,FY 79/80
6/5/2025,NRM,Nepal Republic Media Limited,Others,"9,675,000","967,500,000.00",20%,"4,385,774,250.00","0.64 (Q3, FY 81/82)",708.3,48,13.1,-
6/5/2025,NRN,NRN Infrastructure and Development Limited,Investment,"12,843,723","1,284,372,300.00",227%,"25,431,855,912.30","7.18 (Q3, FY 81/82)",275.78,171.22,13.73,FY 80/81
6/5/2025,NSIF2,NMB Sulav Investment Fund - 2,Mutual Fund,"122,100,000","1,221,000,000.00",9%,"1,285,713,000.00",-,-,-,-,FY 80/81
6/5/2025,NTC,Nepal Doorsanchar Comapany Limited,Others,"180,000,000","18,000,000,000.00",3%,"153,966,600,000.00","21.05 (Q3, FY 81/82)",40.64,503.93,2.38,FY 80/81
6/5/2025,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,Microfinance,"26,120,798","2,612,079,800.00",0%,"17,705,460,508.34","24.53 (Q3, FY 81/82)",27.63,208.03,4.3,FY 78/79
6/5/2025,NWCL,Nepal Warehousing Company Limited,Others,"6,875,000","687,500,000.00",10%,"6,175,468,750.00","-13.1 (Q3, FY 81/82)",-68.57,72.11,18.04,-
6/5/2025,NYADI,Nyadi Hydropower Limited,Hydro Power,"15,000,000","1,500,000,000.00",47%,"6,415,350,000.00","-3.47 (Q3, FY 81/82)",-123.25,74.02,10.28,-
6/5/2025,OHL,Oriental Hotels Limited,Hotels And Tourism,"11,844,950","1,184,495,000.00",18%,"10,453,997,521.50","5.04 (Q3, FY 81/82)",175.11,330.77,3.53,FY 80/81
6/5/2025,OMPL,Om Megashree Pharmaceuticals Limited,Manufacturing And Processing,"6,000,000","600,000,000.00",0%,"10,855,440,000.00","1.68 (Q3, FY 81/82)",1076.93,103.54,0,-
6/5/2025,PBD88,10% Prime Debenture 2088,Corporate Debenture,"1,741,884","1,741,884,000.00",9%,"1,985,747,760.00",-,-,-,-,-
6/5/2025,PBLD84,10% Prabhu Bank Debenture 2084,Corporate Debenture,"2,000,000","2,000,000,000.00",6%,"2,199,000,000.00",-,-,-,-,-
6/5/2025,PBLD87,8.5% Prabhu Bank Debenture 2087,Corporate Debenture,"2,650,000","2,650,000,000.00",8%,"2,781,175,000.00",-,-,-,-,-
6/5/2025,PBLD87,8.5% Prabhu Bank Debenture 2087,Corporate Debenture,"2,650,000.00","2,650,000,000.00",3.1,"2,737,715,000.00",0,0,0,,
6/5/2025,PCBL,Prime Commercial Bank Ltd.,Commercial Banks,"194,025,759","19,402,575,900.00",21%,"46,612,748,342.16","15.32 (Q3, FY 81/82)",15.68,164.63,2.02,FY 80/81
6/5/2025,PFL,Pokhara Finance Ltd.,Finance,"10,825,567","1,082,556,700.00",-37%,"4,391,499,509.22","8.87 (Q3, FY 81/82)",45.73,48.75,11.35,FY 78/79
6/5/2025,PHCL,Peoples Hydropower Company Limited,Hydro Power,"32,000,000","3,200,000,000.00",77%,"17,341,760,000.00","-5.63 (Q3, FY 81/82)",-96.26,92.81,8.34,-
6/5/2025,PMHPL,Panchakanya Mai Hydropower Ltd,Hydro Power,"11,000,000","1,100,000,000.00",29%,"3,171,410,000.00","0.52 (Q3, FY 81/82)",554.44,83.81,4.61,-
6/5/2025,PMLI,Prabhu Mahalaxmi Life Insurance Limited,Life Insurance,"51,036,480","5,103,648,000.00",-1%,"25,538,654,592.00","7.64 (Q3, FY 81/82)",65.5,119.03,6.13,FY 80/81
6/5/2025,PPCL,Panchthar Power Company Limited,Hydro Power,"9,625,000","962,500,000.00",42%,"3,145,257,500.00","-7.15 (Q3, FY 81/82)",-45.7,90.85,4.64,FY 78/79
6/5/2025,PPL,People's Power Limited,Hydro Power,"6,326,000","632,600,000.00",9%,"3,021,930,200.00","1.64 (Q3, FY 81/82)",291.28,98.02,7.06,-
6/5/2025,PRIN,Prabhu Insurance Ltd.,Non-Life Insurance,"14,414,881","1,441,488,100.00",8%,"11,948,927,307.33","18.53 (Q3, FY 81/82)",44.73,234.51,5.19,FY 79/80
6/5/2025,PROFL,Progressive Finance Limited,Finance,"8,561,070","856,107,000.00",32%,"4,127,634,289.80","14.22 (Q3, FY 81/82)",33.91,76.07,9.33,FY 77/78
6/5/2025,PRSF,Prabhu Smart Fund,Mutual Fund,"100,000,000","1,000,000,000.00",26%,"1,129,000,000.00",-,-,-,-,FY 80/81
6/5/2025,PRVU,Prabhu Bank Limited,Commercial Banks,"235,424,899","23,542,489,900.00",45%,"49,067,257,449.58","10.63 (Q3, FY 81/82)",19.61,147.29,1.88,FY 78/79
6/5/2025,PRVUPO,Prabhu Bank Limited Promoter Share,Promotor Share,"1,000,000","100,000,000.00",10%,"110,000,000.00",-,-,-,-,-
6/5/2025,PSF,Prabhu Select Fund,Mutual Fund,"125,000,000","1,250,000,000.00",23%,"1,358,750,000.00",-,-,-,-,FY 80/81
6/5/2025,PURE,Pure Energy Ltd.,Others,"8,000,000","800,000,000.00",0%,"4,098,400,000.00",-,-,-,-,-
6/5/2025,RADHI,Radhi Bidyut Company Ltd,Hydro Power,"18,389,795","1,838,979,500.00",268%,"15,555,375,896.65","5.88 (Q3, FY 81/82)",143.86,117.61,5.6,FY 80/81
6/5/2025,RAWA,Rawa Energy Development Limited,Hydro Power,"2,800,000","280,000,000.00",59%,"2,246,356,000.00","6.66 (Q3, FY 81/82)",120.46,73.82,15.69,-
6/5/2025,RBBD83,8.5% RBBL Debenture 2083,Corporate Debenture,"2,500,000","2,500,000,000.00",9%,"2,677,625,000.00",-,-,-,-,-
6/5/2025,RBCL,Rastriya Beema Company Limited,Non-Life Insurance,"2,666,365","266,636,500.00",8%,"38,729,884,852.75","197.85 (Q3, FY 81/82)",73.42,6321.44,3.18,FY 62/63
6/5/2025,RBCLPO,Rastriya Beema Company Limited Promoter Share,Promotor Share,"1,776,296","177,629,600.00",2%,"20,783,835,555.36",-,-,-,-,-
6/5/2025,RFPL,River Falls Power Limited,Hydro Power,"7,000,000","700,000,000.00",50%,"3,672,200,000.00","0.28 (Q3, FY 81/82)",1873.57,100.58,9.08,-
6/5/2025,RHGCL,Rapti Hydro and General Construction Limited,Hydro Power,"12,255,876","1,225,587,600.00",-4%,"4,081,206,708.00","-8.08 (Q3, FY 81/82)",-41.21,80.11,8.59,-
6/5/2025,RHPL,RASUWAGADHI HYDROPOWER COMPANY LIMITED,Hydro Power,"68,421,000","6,842,100,000.00",38%,"25,358,875,230.00","-2.85 (Q3, FY 81/82)",-130.05,92.29,5.49,-
6/5/2025,RIDI,Ridi Power Company Limited,Hydro Power,"23,233,518","2,323,351,800.00",55%,"5,945,921,926.56","0.32 (Q3, FY 81/82)",799.75,94.27,3.09,FY 78/79
6/5/2025,RLFL,Reliance Finance Ltd.,Finance,"11,214,518","1,121,451,800.00",15%,"5,243,796,471.62","-20.77 (Q3, FY 81/82)",-22.51,92.97,7.38,FY 79/80
6/5/2025,RMF1,RBB Mutual Fund 1,Mutual Fund,"125,000,000","1,250,000,000.00",21%,"1,211,250,000.00",-,-,-,-,FY 80/81
6/5/2025,RMF2,RBB Mutual Fund 2,Mutual Fund,"84,611,929.00","846,119,290.00",11.36,"846,119,290.00",0,0,0,,
6/5/2025,RNLI,Reliable Nepal Life Insurance Limited,Life Insurance,"46,400,000","4,640,000,000.00",18%,"23,616,672,000.00","13.38 (Q3, FY 81/82)",38.04,128.6,5.53,FY 80/81
6/5/2025,RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,Microfinance,"10,340,645","1,034,064,500.00",-6%,"6,722,039,688.70","9.01 (Q3, FY 81/82)",72.15,122.78,7.65,FY 80/81
6/5/2025,RURU,Ru Ru Jalbidhyut Pariyojana Limited,Hydro Power,"5,673,223","567,322,300.00",13%,"3,900,397,544.73","16.5 (Q3, FY 81/82)",41.67,130.67,7.28,FY 80/81
6/5/2025,SADBL,Shangrila Development Bank Ltd.,Development Bank Limited,"35,562,558","3,556,255,800.00",28%,"14,416,705,387.62","16.28 (Q3, FY 81/82)",24.9,152.56,3.49,FY 80/81
6/5/2025,SAGF,Sanima Growth Fund,Mutual Fund,"67,253,260","672,532,600.00",13%,"681,948,056.40",-,-,-,-,FY 80/81
6/5/2025,SAHAS,Sahas Urja Limited,Hydro Power,"37,800,000","3,780,000,000.00",0%,"19,621,602,000.00","29.42 (Q3, FY 81/82)",17.64,182.18,3.67,FY 80/81
6/5/2025,SALICO,Sagarmatha Lumbini Insurance Co. Limited,Non-Life Insurance,"26,226,382","2,622,638,200.00",-1%,"17,652,977,724.20","12.81 (Q3, FY 81/82)",52.54,248.82,3.84,FY 80/81
6/5/2025,SAMAJ,Samaj Laghubittya Bittiya Sanstha Limited,Microfinance,"228,500","22,850,000.00",13%,"548,102,950.00","22.89 (Q3, FY 81/82)",104.79,249.18,13.37,FY 78/79
6/5/2025,SANIMA,Sanima Bank Limited,Commercial Banks,"135,815,256","13,581,525,600.00",24%,"42,530,547,416.40","16.22 (Q3, FY 81/82)",19.31,161.32,2.49,FY 80/81
6/5/2025,SAPDBL,Saptakoshi Development Bank Ltd,Development Bank Limited,"8,343,385","834,338,500.00",235%,"9,084,694,757.25","-4.44 (Q3, FY 81/82)",-245.24,77.37,17.54,FY 75/76
6/5/2025,SARBTM,Sarbottam Cement Limited,Manufacturing And Processing,"49,755,000","4,975,500,000.00",4%,"41,750,415,600.00","16.16 (Q3, FY 81/82)",51.93,193.93,5.43,FY 80/81
6/5/2025,SBCF,Sunrise Bluechip Fund,Mutual Fund,"125,000,000","1,250,000,000.00",15%,"1,198,750,000.00",-,-,-,-,-
6/5/2025,SBI,Nepal SBI Bank Limited,Commercial Banks,"108,991,581","10,899,158,100.00",38%,"44,600,444,861.01","14.72 (Q3, FY 81/82)",27.8,183.08,3.07,FY 80/81
6/5/2025,SBIBD86,10% Nepal SBI Bank Debenture 2086,Corporate Debenture,"1,112.00",0,0,0,0,0,"1,112.00",,
6/5/2025,SBID83,10.25% Nepal SBI Bank Debenture 2083,Corporate Debenture,"2,401,482","2,401,482,000.00",3%,"2,605,607,970.00",-,-,-,-,-
6/5/2025,SBL,Siddhartha Bank Limited,Commercial Banks,"140,899,802","14,089,980,200.00",19%,"41,596,439,546.44","15.79 (Q3, FY 81/82)",18.7,207.48,1.82,FY 80/81
6/5/2025,SBLPO,Siddhartha Bank Limited Promoter Share,Promotor Share,175,0,0,0,0,0,175,,
6/5/2025,SCB,Standard Chartered Bank Limited,Commercial Banks,"100,423,684","10,042,368,400.00",9%,"61,177,104,055.96","28.86 (Q3, FY 81/82)",21.11,208.43,4.03,FY 80/81
6/5/2025,SDBD87,9% Shangri-la Development Bank Debenture 2087,Corporate Debenture,"750,000","750,000,000.00",11%,"825,000,000.00",-,-,-,-,-
6/5/2025,SEF,Siddhartha Equity Fund,Mutual Fund,"150,000,000","1,500,000,000.00",25%,"1,507,500,000.00",-,-,-,-,FY 79/80
6/5/2025,SFCL,Samriddhi Finance Company Limited,Finance,"8,189,114","818,911,400.00",29%,"3,873,942,268.84","-5.81 (Q3, FY 81/82)",-81.42,53.63,13.11,-
6/5/2025,SFEF,Sunrise Focused Equity Fund,Mutual Fund,"100,000,000","1,000,000,000.00",22%,"981,000,000.00",-,-,-,-,FY 80/81
6/5/2025,SGHC,Swet-Ganga Hydropower & Construction Limited,Hydro Power,"15,930,000","1,593,000,000.00",28%,"6,585,302,700.00","5.7 (Q3, FY 81/82)",72.52,76.49,8.83,-
6/5/2025,SGIC,Sanima GIC Insurance Limited,Non-Life Insurance,"21,500,000","2,150,000,000.00",3%,"11,812,960,000.00","15.57 (Q3, FY 81/82)",35.29,158.32,4.92,FY 80/81
6/5/2025,SHEL,Singati Hydro Energy Limited,Hydro Power,"29,000,000","2,900,000,000.00",74%,"7,845,950,000.00","6.18 (Q3, FY 81/82)",43.78,108.99,3.02,-
6/5/2025,SHINE,Shine Resunga Development Bank Ltd.,Development Bank Limited,"48,757,018","4,875,701,800.00",5%,"19,641,277,131.12","14.06 (Q3, FY 81/82)",28.65,147.78,3.67,FY 80/81
6/5/2025,SHIVM,SHIVAM CEMENTS LTD,Manufacturing And Processing,"54,568,085","5,456,808,500.00",6%,"28,289,732,306.55","9.79 (Q3, FY 81/82)",52.96,181.1,3.84,FY 80/81
6/5/2025,SHL,Soaltee Hotel Limited,Hotels And Tourism,"102,184,907","1,021,849,070.00",30%,"57,307,339,543.74","6.1 (Q3, FY 81/82)",91.94,25.17,26.09,FY 80/81
6/5/2025,SHLB,Shrijanshil Laghubitta Bittiya Sanstha Limited,Microfinance,"1,093,750","109,375,000.00",10%,"2,117,500,000.00","28.89 (Q3, FY 81/82)",67.01,229.73,12.5,-
6/5/2025,SHPC,Sanima Mai Hydropower Ltd.,Hydro Power,"37,379,938","3,737,993,800.00",72%,"21,115,553,176.82","9.88 (Q3, FY 81/82)",57.18,172.85,3.66,FY 80/81
6/5/2025,SICL,Shikhar Insurance Co. Ltd.,Non-Life Insurance,"29,204,419","2,920,441,900.00",6%,"21,615,942,767.04","16.29 (Q3, FY 81/82)",45.44,195.81,5.19,FY 80/81
6/5/2025,SIFC,Shree Investment Finance Co. Ltd.,Finance,"10,000,000","1,000,000,000.00",13%,"4,855,600,000.00","6.55 (Q3, FY 81/82)",74.13,140.34,5,FY 80/81
6/5/2025,SIGS2,Siddhartha Investment Growth Scheme - 2,Mutual Fund,"120,000,000","1,200,000,000.00",17%,"1,192,800,000.00",-,-,-,-,FY 79/80
6/5/2025,SIGS3,Siddhartha Investment Growth Scheme 3,Mutual Fund,"80,580,000","805,800,000.00",22%,"821,110,200.00",-,-,-,-,FY 80/81
6/5/2025,SIKLES,Sikles Hydropower Limited,Hydro Power,"8,500,000","850,000,000.00",56%,"7,275,745,000.00","13.56 (Q3, FY 81/82)",63.12,118.29,11.83,FY 79/80
6/5/2025,SINDU,Sindhu Bikash Bank Ltd,Development Bank Limited,"5,574,561","557,456,100.00",125%,"4,728,119,657.76","18.76 (Q3, FY 81/82)",45.21,79.89,18.22,FY 75/76
6/5/2025,SJCL,SANJEN JALAVIDHYUT COMPANY LIMITED,Hydro Power,"36,500,000","3,650,000,000.00",18%,"11,506,260,000.00","-8.87 (Q3, FY 81/82)",-35.54,82.5,5.17,-
6/5/2025,SJLIC,SuryaJyoti Life Insurance Company Limited,Life Insurance,"50,119,478","5,011,947,800.00",4%,"21,486,721,413.38","7.87 (Q3, FY 81/82)",54.47,116.24,5.04,FY 80/81
6/5/2025,SKBBL,Sana Kisan Bikas Laghubitta Bittiya sanstha Limited.,Microfinance,"43,126,216","4,312,621,600.00",-3%,"34,166,313,363.84","16.85 (Q3, FY 81/82)",47.02,231.71,4.6,FY 80/81
6/5/2025,SLBBL,Swarojgar Laghubitta Bittiya Sanstha Ltd.,Microfinance,"7,839,246","783,924,600.00",11%,"6,927,855,260.04","30.93 (Q3, FY 81/82)",28.57,171.53,7.46,FY 80/81
6/5/2025,SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,Microfinance,"1,708,050","170,805,000.00",11%,"2,301,973,146.00","-7.9 (Q3, FY 81/82)",-170.6,107.73,21.47,FY 78/79
6/5/2025,SLCF,Sanima Large Cap Fund,Mutual Fund,"120,000,000","1,200,000,000.00",22%,"1,170,000,000.00",-,-,-,-,FY 77/78
6/5/2025,SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,Microfinance,"6,290,516","629,051,600.00",-25%,"4,810,546,300.68","5.54 (Q3, FY 81/82)",138.04,126.46,8.54,FY 80/81
6/5/2025,SMB,Support Microfinance Bittiya Sanstha Ltd.,Microfinance,"1,224,436","122,443,600.00",35%,"2,653,646,676.64","33.37 (Q3, FY 81/82)",64.95,152.79,20.91,FY 80/81
